participant_id,text_id,text_domain,acc_tq1,acc_tq2,acc_tq3,mean_acc_tq,reader_discipline,level_of_studies
205,p1,physics,1,0,1,0.6666666666666666,biology,graduate
205,p2,physics,0,0,0,0.0,biology,graduate
205,p3,physics,1,0,1,0.6666666666666666,biology,graduate
205,p4,physics,0,0,0,0.0,biology,graduate
205,p5,physics,0,0,0,0.0,biology,graduate
214,b0,biology,0,1,0,0.3333333333333333,biology,graduate
214,b1,biology,0,0,0,0.0,biology,graduate
214,b2,biology,1,0,0,0.3333333333333333,biology,graduate
214,b3,biology,0,0,1,0.3333333333333333,biology,graduate
214,b4,biology,1,0,0,0.3333333333333333,biology,graduate
214,b5,biology,0,1,0,0.3333333333333333,biology,graduate
214,p0,physics,0,1,0,0.3333333333333333,biology,graduate
214,p1,physics,1,0,0,0.3333333333333333,biology,graduate
214,p2,physics,1,0,0,0.3333333333333333,biology,graduate
214,p3,physics,0,0,1,0.3333333333333333,biology,graduate
214,p4,physics,0,0,0,0.0,biology,graduate
214,p5,physics,0,0,0,0.0,biology,graduate
218,b0,biology,1,1,1,1.0,biology,graduate
218,b1,biology,0,0,0,0.0,biology,graduate
218,b2,biology,1,0,0,0.3333333333333333,biology,graduate
218,b3,biology,0,0,1,0.3333333333333333,biology,graduate
218,b4,biology,1,0,0,0.3333333333333333,biology,graduate
218,b5,biology,0,1,0,0.3333333333333333,biology,graduate
218,p0,physics,1,0,0,0.3333333333333333,biology,graduate
218,p1,physics,0,0,0,0.0,biology,graduate
218,p2,physics,0,0,0,0.0,biology,graduate
218,p3,physics,0,0,0,0.0,biology,graduate
218,p4,physics,0,0,0,0.0,biology,graduate
218,p5,physics,0,0,0,0.0,biology,graduate
221,b0,biology,0,1,1,0.6666666666666666,biology,graduate
221,b1,biology,1,0,0,0.3333333333333333,biology,graduate
221,b2,biology,1,0,0,0.3333333333333333,biology,graduate
221,b3,biology,0,0,1,0.3333333333333333,biology,graduate
221,b4,biology,0,0,0,0.0,biology,graduate
221,b5,biology,0,0,0,0.0,biology,graduate
221,p0,physics,0,0,0,0.0,biology,graduate
221,p1,physics,0,1,0,0.3333333333333333,biology,graduate
221,p2,physics,1,0,0,0.3333333333333333,biology,graduate
221,p3,physics,1,1,1,1.0,biology,graduate
221,p4,physics,0,0,0,0.0,biology,graduate
221,p5,physics,0,0,0,0.0,biology,graduate
224,b0,biology,0,0,1,0.3333333333333333,biology,graduate
224,b1,biology,1,0,1,0.6666666666666666,biology,graduate
224,b2,biology,1,0,0,0.3333333333333333,biology,graduate
224,b3,biology,1,0,1,0.6666666666666666,biology,graduate
224,b4,biology,0,0,0,0.0,biology,graduate
224,b5,biology,0,0,0,0.0,biology,graduate
224,p0,physics,0,0,1,0.3333333333333333,biology,graduate
224,p1,physics,0,0,0,0.0,biology,graduate
224,p2,physics,1,0,1,0.6666666666666666,biology,graduate
224,p3,physics,0,0,0,0.0,biology,graduate
224,p4,physics,0,0,0,0.0,biology,graduate
224,p5,physics,0,0,0,0.0,biology,graduate
232,b0,biology,0,0,0,0.0,physics,graduate
232,b1,biology,1,1,1,1.0,physics,graduate
232,b2,biology,1,0,0,0.3333333333333333,physics,graduate
232,b3,biology,0,0,1,0.3333333333333333,physics,graduate
232,b4,biology,1,0,0,0.3333333333333333,physics,graduate
232,b5,biology,1,1,0,0.6666666666666666,physics,graduate
232,p0,physics,0,0,0,0.0,physics,graduate
232,p1,physics,0,0,0,0.0,physics,graduate
232,p2,physics,1,0,1,0.6666666666666666,physics,graduate
232,p3,physics,1,0,0,0.3333333333333333,physics,graduate
232,p4,physics,0,0,0,0.0,physics,graduate
232,p5,physics,0,0,0,0.0,physics,graduate
234,b0,biology,0,0,0,0.0,physics,graduate
234,b1,biology,0,0,0,0.0,physics,graduate
234,b2,biology,1,0,0,0.3333333333333333,physics,graduate
234,b3,biology,1,1,0,0.6666666666666666,physics,graduate
234,b4,biology,0,0,0,0.0,physics,graduate
234,b5,biology,0,1,1,0.6666666666666666,physics,graduate
234,p0,physics,0,1,0,0.3333333333333333,physics,graduate
234,p1,physics,0,0,0,0.0,physics,graduate
234,p2,physics,0,1,0,0.3333333333333333,physics,graduate
234,p3,physics,0,0,1,0.3333333333333333,physics,graduate
234,p4,physics,0,0,0,0.0,physics,graduate
234,p5,physics,0,0,1,0.3333333333333333,physics,graduate
241,b0,biology,1,0,1,0.6666666666666666,other,other
241,b1,biology,0,0,0,0.0,other,other
241,b2,biology,1,0,0,0.3333333333333333,other,other
241,b3,biology,0,0,0,0.0,other,other
241,b4,biology,0,0,0,0.0,other,other
241,b5,biology,0,0,0,0.0,other,other
241,p0,physics,0,0,0,0.0,other,other
241,p1,physics,0,1,0,0.3333333333333333,other,other
241,p2,physics,0,0,1,0.3333333333333333,other,other
241,p3,physics,1,1,0,0.6666666666666666,other,other
241,p4,physics,1,0,0,0.3333333333333333,other,other
241,p5,physics,0,0,0,0.0,other,other
243,b0,biology,1,0,0,0.3333333333333333,physics,graduate
243,b1,biology,1,0,0,0.3333333333333333,physics,graduate
243,b2,biology,1,1,0,0.6666666666666666,physics,graduate
243,b3,biology,0,1,0,0.3333333333333333,physics,graduate
243,b4,biology,0,0,0,0.0,physics,graduate
243,b5,biology,1,1,0,0.6666666666666666,physics,graduate
243,p0,physics,0,0,0,0.0,physics,graduate
243,p1,physics,0,0,0,0.0,physics,graduate
243,p2,physics,1,1,1,1.0,physics,graduate
243,p3,physics,1,0,1,0.6666666666666666,physics,graduate
243,p4,physics,0,0,1,0.3333333333333333,physics,graduate
243,p5,physics,0,0,0,0.0,physics,graduate
247,b0,biology,1,1,0,0.6666666666666666,biology,graduate
247,b1,biology,0,0,0,0.0,biology,graduate
247,b2,biology,1,0,0,0.3333333333333333,biology,graduate
247,b3,biology,1,0,1,0.6666666666666666,biology,graduate
247,b4,biology,1,0,0,0.3333333333333333,biology,graduate
247,b5,biology,0,1,0,0.3333333333333333,biology,graduate
247,p0,physics,0,0,1,0.3333333333333333,biology,graduate
247,p1,physics,0,0,1,0.3333333333333333,biology,graduate
247,p2,physics,0,1,0,0.3333333333333333,biology,graduate
247,p3,physics,1,0,1,0.6666666666666666,biology,graduate
247,p4,physics,0,0,0,0.0,biology,graduate
247,p5,physics,0,0,0,0.0,biology,graduate
249,b0,biology,1,0,0,0.3333333333333333,physics,graduate
249,b1,biology,0,0,0,0.0,physics,graduate
249,b2,biology,0,1,0,0.3333333333333333,physics,graduate
249,b3,biology,1,0,0,0.3333333333333333,physics,graduate
249,b4,biology,0,0,0,0.0,physics,graduate
249,b5,biology,0,1,0,0.3333333333333333,physics,graduate
249,p0,physics,1,0,0,0.3333333333333333,physics,graduate
249,p1,physics,0,0,0,0.0,physics,graduate
249,p2,physics,0,1,0,0.3333333333333333,physics,graduate
249,p3,physics,1,0,0,0.3333333333333333,physics,graduate
249,p4,physics,1,1,0,0.6666666666666666,physics,graduate
249,p5,physics,0,0,0,0.0,physics,graduate
250,b0,biology,1,1,0,0.6666666666666666,physics,graduate
250,b1,biology,1,0,0,0.3333333333333333,physics,graduate
250,b2,biology,0,0,0,0.0,physics,graduate
250,b3,biology,0,1,0,0.3333333333333333,physics,graduate
250,b4,biology,1,0,0,0.3333333333333333,physics,graduate
250,b5,biology,0,1,0,0.3333333333333333,physics,graduate
250,p0,physics,0,0,0,0.0,physics,graduate
250,p1,physics,1,1,0,0.6666666666666666,physics,graduate
250,p2,physics,0,0,0,0.0,physics,graduate
250,p3,physics,0,0,0,0.0,physics,graduate
250,p4,physics,0,0,0,0.0,physics,graduate
250,p5,physics,0,0,1,0.3333333333333333,physics,graduate
252,b0,biology,1,1,1,1.0,other,other
252,b1,biology,0,0,1,0.3333333333333333,other,other
252,b2,biology,1,1,0,0.6666666666666666,other,other
252,b3,biology,0,1,1,0.6666666666666666,other,other
252,b4,biology,0,0,0,0.0,other,other
252,b5,biology,0,0,0,0.0,other,other
252,p0,physics,0,0,0,0.0,other,other
252,p1,physics,0,0,0,0.0,other,other
252,p2,physics,1,0,1,0.6666666666666666,other,other
252,p3,physics,0,0,1,0.3333333333333333,other,other
252,p4,physics,1,0,0,0.3333333333333333,other,other
252,p5,physics,0,0,0,0.0,other,other
256,b0,biology,0,1,1,0.6666666666666666,other,other
256,b1,biology,1,0,0,0.3333333333333333,other,other
256,b2,biology,1,0,0,0.3333333333333333,other,other
256,b3,biology,0,1,1,0.6666666666666666,other,other
256,b4,biology,0,0,0,0.0,other,other
256,b5,biology,0,1,0,0.3333333333333333,other,other
256,p0,physics,0,0,0,0.0,other,other
256,p1,physics,0,0,0,0.0,other,other
256,p2,physics,1,0,0,0.3333333333333333,other,other
256,p3,physics,1,0,0,0.3333333333333333,other,other
256,p4,physics,0,0,0,0.0,other,other
256,p5,physics,0,0,0,0.0,other,other
257,b0,biology,0,1,1,0.6666666666666666,other,other
257,b1,biology,1,0,0,0.3333333333333333,other,other
257,b2,biology,1,0,0,0.3333333333333333,other,other
257,b3,biology,0,0,0,0.0,other,other
257,b4,biology,0,0,0,0.0,other,other
257,b5,biology,0,0,0,0.0,other,other
257,p0,physics,0,0,0,0.0,other,other
257,p1,physics,0,0,0,0.0,other,other
257,p2,physics,1,0,0,0.3333333333333333,other,other
257,p3,physics,1,1,0,0.6666666666666666,other,other
257,p4,physics,0,0,0,0.0,other,other
257,p5,physics,1,0,1,0.6666666666666666,other,other
259,b0,biology,1,0,0,0.3333333333333333,other,other
259,b1,biology,0,1,0,0.3333333333333333,other,other
259,b2,biology,0,0,0,0.0,other,other
259,b3,biology,0,0,0,0.0,other,other
259,b4,biology,0,0,0,0.0,other,other
259,b5,biology,0,0,0,0.0,other,other
259,p0,physics,0,0,0,0.0,other,other
259,p1,physics,0,0,0,0.0,other,other
259,p2,physics,0,0,0,0.0,other,other
259,p3,physics,0,1,0,0.3333333333333333,other,other
259,p4,physics,0,1,0,0.3333333333333333,other,other
259,p5,physics,0,0,0,0.0,other,other
260,b0,biology,1,1,0,0.6666666666666666,other,other
260,b1,biology,0,0,1,0.3333333333333333,other,other
260,b2,biology,1,0,0,0.3333333333333333,other,other
260,b3,biology,0,1,0,0.3333333333333333,other,other
260,b4,biology,0,0,0,0.0,other,other
260,b5,biology,0,0,0,0.0,other,other
260,p0,physics,0,1,1,0.6666666666666666,other,other
260,p1,physics,0,0,0,0.0,other,other
260,p2,physics,0,0,0,0.0,other,other
260,p3,physics,0,0,0,0.0,other,other
260,p4,physics,0,0,0,0.0,other,other
260,p5,physics,1,0,0,0.3333333333333333,other,other
261,b0,biology,0,0,0,0.0,physics,graduate
261,b1,biology,0,1,0,0.3333333333333333,physics,graduate
261,b2,biology,1,0,0,0.3333333333333333,physics,graduate
261,b3,biology,0,0,0,0.0,physics,graduate
261,b4,biology,0,0,0,0.0,physics,graduate
261,b5,biology,0,1,0,0.3333333333333333,physics,graduate
261,p0,physics,0,0,0,0.0,physics,graduate
261,p1,physics,0,0,0,0.0,physics,graduate
261,p2,physics,0,0,0,0.0,physics,graduate
261,p3,physics,0,0,0,0.0,physics,graduate
261,p4,physics,1,0,0,0.3333333333333333,physics,graduate
261,p5,physics,0,0,0,0.0,physics,graduate
262,b0,biology,1,0,0,0.3333333333333333,physics,graduate
