word	word_with_punct	word_index_in_text	word_index_in_sent	sent_index_in_text	word_limit_char_indices	text_id	text_id_numeric	text_domain	text_domain_numeric	word_length	STTS_punctuation_before	STTS_punctuation_after	is_in_quote	is_in_parentheses	is_clause_beginning	is_sent_beginning	is_clause_end	is_sent_end	is_abbreviation	is_expert_technical_term	is_general_technical_term	contains_symbol	contains_hyphen	contains_abbreviation	STTS_PoS_tag	type	type_length_chars	PoS_tag	lemma	lemma_length_chars	syllables	type_length_syllables	annotated_type_frequency_normalized	type_frequency_normalized	lemma_frequency_normalized	familiarity_normalized	regularity_normalized	document_frequency_normalized	sentence_frequency_normalized	cumulative_syllable_corpus_frequency_normalized	cumulative_syllable_lexicon_frequency_normalized	cumulative_character_corpus_frequency_normalized	cumulative_character_lexicon_frequency_normalized	cumulative_character_bigram_corpus_frequency_normalized	cumulative_character_bigram_lexicon_frequency_normalized	cumulative_character_trigram_corpus_frequency_normalized	cumulative_character_trigram_lexicon_frequency_normalized	initial_letter_frequency_normalized	initial_bigram_frequency_normalized	initial_trigram_frequency_normalized	avg_cond_prob_in_bigrams	avg_cond_prob_in_trigrams	neighbors_coltheart_higher_freq_cum_freq_normalized	neighbors_coltheart_higher_freq_count_normalized	neighbors_coltheart_all_cum_freq_normalized	neighbors_coltheart_all_count_normalized	neighbors_levenshtein_higher_freq_cum_freq_normalized	neighbors_levenshtein_higher_freq_count_normalized	neighbors_levenshtein_all_cum_freq_normalized	neighbors_levenshtein_all_count_normalized	sent_surprisal_gpt2-base	text_surprisal_gpt2-base	sent_surprisal_gpt2-large	text_surprisal_gpt2-large	sent_surprisal_llama-7b	text_surprisal_llama-7b	sent_surprisal_llama-13b	text_surprisal_llama-13b	sent_surprisal_bert-base	text_surprisal_bert-base
wie	wie	101	4	8	699,701	b2	2	biology	0	3			0	0	0	0	0	0	0	0	0	0	0	0	KOKOM	wie	3.0	kokom	wie	3.0	wie	1.0	2905.83182913	3015.87656749	3407.62635298	3015.87656749	0.428085856899	4068.60643958	5273.00801527	5843.90616981	1979.89708816	1200679.02697	2452376.30459	260710.659454	289400.594183	223751.732269	182794.801325	34258.3961147	10849.3026621	4473.9509569	0.0309912494168	0.204693849842	33576.856129	1.2842575707	38190.6091118	23.1166362726	33576.856129	1.2842575707	38229.7023396	35.1030402658	4.658524513244629	10.863202095031738	4.451771259307861	11.794628143310549	8.831887245178223	0.0871689692139625	9.540782928466797	0.090965025126934	2.377926588058472	4.502989292144775
Phosphat	Phosphat	102	5	8	702,709	b2	2	biology	0	8			0	0	0	0	0	0	0	0	1	0	0	0	NN	Phosphat	8.0	nn	Phosphat	8.0	pho-sphat	2.0	0.49050473976	0.49050473976	1.20991169141	3.64608523221	21.404292845	3.15171074859	0.931105921058	128.937345925	1451.63914075	1368282.4119	3677452.71792	152172.604498	308658.464542	105433.805785	127055.026156	10343.3797233	496.832250902	50.0805339295	0.149542502117	0.408761357317	0.0	0.0	0.00817507899599	0.428085856899	0.515029976748	0.428085856899	0.580430608715	1.7123434276	7.796128749847412	5.757584571838379	6.172334671020508	4.429193019866943	6.597898483276367	2.793667793273926	7.665709495544434	1.6443493366241455	5.335147624835372	0.3261608463653829
sind	sind	103	6	8	710,713	b2	2	biology	0	4			0	0	0	0	0	0	0	0	0	0	0	0	VAFIN	sind	4.0	vafin	sein	4.0	sind	1.0	2296.19983824	2298.63601178	17044.4184006	2302.62545033	5.99320199659	4304.10226671	4116.7606825	2333.22477101	26.1132372709	1332047.00373	2728807.18157	249282.495798	286785.417683	144872.038227	66814.7843732	48925.779496	15113.3748159	2467.07533941	0.0559257789967	0.326343386708	0.0	0.0	259.885761283	20.9762069881	0.0	0.0	267.325083169	26.5413231278	4.058216571807861	2.099427461624145	3.577397108078003	4.526681423187256	0.0236602276563644	0.0329529047012329	0.0175740681588649	0.0031358851119875	0.0185326915234327	27.14420509338379
jedoch	jedoch	104	7	8	714,719	b2	2	biology	0	6			0	0	0	0	0	0	0	0	0	0	0	0	ADV	jedoch	6.0	adv	jedoch	6.0	je-doch	2.0	295.136701913	296.019610445	308.363979729	296.085011077	2.9966009983	1369.22921762	559.70328758	4314.18538808	1964.91408317	1464008.02525	3055594.22598	195959.758239	342301.30395	93597.1007311	42443.0003682	4280.33238596	2867.44165816	1289.23448291	0.0102269929806	0.198336257451	0.0	0.0	12.3607194419	1.7123434276	0.0	0.0	12.4015948369	3.4246868552	3.737912178039551	11.923148155212402	2.594937324523926	13.40415096282959	4.784895420074463	0.9745124578475952	7.659361839294434	0.0373289622366428	0.0031983908265829	0.435143232345581
fest	fest	105	8	8	720,723	b2	2	biology	0	4			0	0	0	0	0	0	0	0	0	0	0	0	ADJD	fest	4.0	adjd	fest	4.0	fest	1.0	42.6575622011	154.999497764	248.268974029	154.999497764	0.428085856899	834.320869368	291.839632524	650.883439503	1445.21785289	1387639.92802	3297220.43853	204905.346605	365587.034136	119546.812534	116849.887413	12864.091756	1343.79496012	572.672458748	0.0278636471249	0.251566193749	273.685294628	0.428085856899	380.271974578	19.2638635605	273.685294628	0.428085856899	424.62995321	24.8289797002	5.199854373931885	0.3704053461551666	3.648074150085449	0.0495888441801071	0.0378326438367366	0.837973415851593	0.0412864796817302	0.4507217407226562	5.331949234008789	1.098002314567566
im	im	106	9	8	724,725	b2	2	biology	0	2			0	0	0	0	0	0	0	0	0	0	0	0	APPRART	im	2.0	apprart	im	2.0	im	1.0	4320.93800333	4320.93800333	4852.53069013	0.0	0.0	6505.00491667	7332.35049931	6212.43055587	1739.74092244	476263.776674	1003959.79418	79143.642817	44968.7069239	79582.1540543	29361.1246672	37971.7622471	5463.51156905	-0.00817507899599	0.0471865575674	0.258008463415	13165.4578681	0.428085856899	17856.5143979	39.8119846916	13165.4578681	0.428085856899	19278.847342	58.6477623952	5.087317943572998	0.0123711144551634	4.408506393432617	0.0139777297154068	0.4084634780883789	0.0198457334190607	1.1924091577529907	0.0167622454464435	0.107619971036911	0.1583032757043838
Boden	Boden	107	10	8	726,730	b2	2	biology	0	5			0	0	0	0	0	0	0	0	0	0	0	0	NN	Boden	5.0	nn	Boden	5.0	bo-den	2.0	149.775622286	149.775622286	167.875247183	151.222611268	9.41788885179	519.401931368	278.059264892	24298.4766468	27763.0801634	1598482.017	3280101.7132	495828.081424	791277.32258	371668.938371	506354.078374	17498.1271098	956.664094269	221.119536684	0.0432223724224	0.236409529767	0.0	0.0	56.0728668335	18.4076918467	0.0	0.0	70.2321036546	26.5413231278	8.634298324584961	4.342127799987793	9.307901382446287	5.243276119232178	2.995436668395996	0.1378023475408554	2.3635802268981934	0.0829948857426643	3.933526277542114	0.0005429700831882
gebunden	gebunden,	108	11	8	731,738	b2	2	biology	0	8		$,	0	0	0	0	0	0	0	0	0	0	0	0	VVPP	gebunden	8.0	vvpp	binden	6.0	ge-bun-den	3.0	32.3651377451	32.3733128241	51.5356979907	260.253639837	58.6477623952	201.33128262	61.1271037174	67414.0966991	118863.603284	3097857.96825	6424438.5654	696322.433356	1152875.4527	440098.191855	544473.839673	23747.2147199	15623.9820749	1054.28271256	0.047816680392	0.322877698285	103.308473272	0.428085856899	122.536259071	3.8527727121	103.308473272	0.428085856899	125.765415274	5.13703028279	4.480600357055664	5.390697956085205	2.892566204071045	3.671589374542236	2.5201334953308105	2.450735330581665	2.737212419509888	2.685051202774048	27.212056517601013	26.28442943096161
sie	sie	109	12	8	740,742	b2	2	biology	0	3			0	0	1	0	0	0	0	0	0	0	0	0	PPER	sie	3.0	pper	sie	3.0	sie	1.0	4963.73628971	4963.73628971	8487.45693951	4963.73628971	0.428085856899	4025.99531025	7654.66833231	8142.13342764	4056.96966584	1411597.82271	3107679.43219	282130.976914	322653.01929	243841.081467	199354.446528	48925.779496	15113.3748159	5524.95546278	0.0431282946748	0.183343569275	24520.1275636	0.428085856899	34559.672301	27.8255806985	24520.1275636	0.428085856899	34594.7025145	45.3771008313	4.048210144042969	0.7820376753807068	3.934180498123169	0.1708651781082153	3.79928994178772	1.8799638748168943	3.738900661468506	1.3019413948059082	0.5138475894927979	0.0005103239673189
haben	haben	110	13	8	743,747	b2	2	biology	0	5			0	0	0	0	0	0	0	0	0	0	0	0	VAFIN	haben	5.0	vafin	haben	5.0	ha-ben	2.0	1075.85674603	1607.98898804	8161.24676233	1613.75241873	8.56171713799	3693.30072363	2922.46215442	11089.3475066	14791.6506134	1776796.45583	3923426.14235	465680.254005	795978.133374	368981.691804	461766.795949	17646.9952984	8376.95439672	2807.01147422	0.0434172288213	0.320677529984	0.0	0.0	110.780495475	17.9796059898	0.0	0.0	1209.65008888	26.5413231278	2.6611642837524414	5.499346256256104	1.1005244255065918	7.651021480560303	0.0239788237959146	1.5217732191085815	0.0064050629734992	1.6015315055847168	4.369843482971191	0.0008166077313944
niedrige	niedrige	111	14	8	748,755	b2	2	biology	0	8			0	0	0	0	0	0	0	0	0	0	0	0	ADJA	niedrige	8.0	adja	niedrig	7.0	nie-dri-ge	3.0	6.48283764382	6.48283764382	53.2442895009	23.8875808263	14.5549191346	64.2948992713	12.1664507018	44640.7546147	98755.9824999	3449649.07125	7173789.15915	366267.729079	626656.478223	185201.027277	230720.297263	21439.2836433	8395.39737493	713.839722851	0.00534010049433	0.153224468711	0.0	0.0	0.621306003695	2.1404292845	32.0953601383	1.2842575707	35.0792639718	4.28085856899	1.8194360733032229	1.4470853805541992	1.7920417785644531	1.5957021713256836	7.674529075622559	6.221785545349121	8.056540489196777	5.892285346984863	1.037904143333435	3.9822685718536377
