aoi_type	aoi	start_x	start_y	end_x	end_y	character
0 RECTANGLE	120.0	81.0	673.0	199.0	755.0	richtige
0 RECTANGLE	121.0	199.0	673.0	339.0	755.0	Polarität
0 RECTANGLE	122.0	339.0	673.0	394.0	755.0	der
0 RECTANGLE	123.0	394.0	673.0	731.0	755.0	Beschleunigungsspannung
0 RECTANGLE	124.0	731.0	673.0	854.0	755.0	anliegt,
0 RECTANGLE	125.0	854.0	673.0	940.0	755.0	nimmt
0 RECTANGLE	126.0	940.0	673.0	1011.0	755.0	ihre
0 RECTANGLE	127.0	1011.0	673.0	1164.0	755.0	kinetische
0 RECTANGLE	128.0	1164.0	673.0	1276.0	755.0	Energie
0 RECTANGLE	129.0	1276.0	673.0	1332.0	755.0	bei
0 RECTANGLE	130.0	1332.0	673.0	1501.0	755.0	Durchlaufen
0 RECTANGLE	131.0	1501.0	673.0	1547.0	755.0	des
0 RECTANGLE	132.0	82.0	755.0	184.0	837.0	Spaltes
0 RECTANGLE	133.0	184.0	755.0	238.0	837.0	zu,
0 RECTANGLE	134.0	238.0	755.0	310.0	837.0	ihre
0 RECTANGLE	135.0	310.0	755.0	534.0	837.0	Geschwindigkeit
0 RECTANGLE	136.0	534.0	755.0	633.0	837.0	wächst
0 RECTANGLE	137.0	633.0	755.0	689.0	837.0	und
0 RECTANGLE	138.0	689.0	755.0	773.0	837.0	daher
0 RECTANGLE	139.0	773.0	755.0	843.0	837.0	auch
0 RECTANGLE	140.0	843.0	755.0	898.0	837.0	der
0 RECTANGLE	141.0	898.0	755.0	996.0	837.0	Radius
0 RECTANGLE	142.0	996.0	755.0	1052.0	837.0	des
0 RECTANGLE	143.0	1052.0	755.0	1179.0	837.0	nächsten
0 RECTANGLE	144.0	1179.0	755.0	1359.0	837.0	Halbkreises.
0 RECTANGLE	145.0	1359.0	755.0	1417.0	837.0	Die
0 RECTANGLE	146.0	1417.0	755.0	1493.0	837.0	Ionen
0 RECTANGLE	147.0	81.0	837.0	241.0	919.0	durchlaufen
0 RECTANGLE	148.0	241.0	837.0	353.0	919.0	deshalb
0 RECTANGLE	149.0	353.0	837.0	423.0	919.0	eine
0 RECTANGLE	150.0	423.0	837.0	604.0	919.0	spiralartige
0 RECTANGLE	151.0	604.0	837.0	686.0	919.0	Bahn,
0 RECTANGLE	152.0	686.0	837.0	745.0	919.0	die
0 RECTANGLE	153.0	745.0	837.0	800.0	919.0	aus
0 RECTANGLE	154.0	800.0	837.0	898.0	919.0	lauter
0 RECTANGLE	155.0	898.0	837.0	1066.0	919.0	Halbkreisen
0 RECTANGLE	156.0	1066.0	837.0	1122.0	919.0	mit
0 RECTANGLE	157.0	1122.0	837.0	1277.0	919.0	wachsenden
0 RECTANGLE	158.0	1277.0	837.0	1374.0	919.0	Radien
0 RECTANGLE	159.0	1374.0	837.0	1498.0	919.0	besteht,
0 RECTANGLE	160.0	1498.0	837.0	1556.0	919.0	bis
